spec_type,mWD,log(teff),log(L),logg,age(Gyrs),R(Rsun),Mbol,G,BP,RP
DA,1,4.12,-2.7766,8.6496,0.8282,0.0078,11.6814,12.5949,12.5372,12.625
DA,1,4.14,-2.6958,8.6488,0.7384,0.0078,11.4794,12.5233,12.4564,12.57
DA,1,4.16,-2.6149,8.648,0.6555,0.0079,11.2773,12.4595,12.3846,12.5209
DA,1,4.18,-2.534,8.6471,0.5804,0.0079,11.0751,12.3851,12.3007,12.4632
DA,1,4.2,-2.4531,8.6462,0.514,0.0079,10.8728,12.3019,12.2074,12.3969
DA,1,4.22,-2.3722,8.6452,0.455,0.0079,10.6704,12.2157,12.1111,12.3261
DA,1,4.24,-2.2911,8.6442,0.4021,0.0079,10.4679,12.1292,12.0149,12.2536
DA,1,4.26,-2.2101,8.6431,0.354,0.0079,10.2652,12.0433,11.9196,12.1807
DA,1,4.28,-2.1289,8.642,0.3104,0.0079,10.0623,11.9578,11.8251,12.1078
DA,1,4.3,-2.0477,8.6408,0.2718,0.0079,9.8593,11.8725,11.731,12.0348
DA,1,4.32,-1.9665,8.6395,0.2374,0.0079,9.6562,11.7872,11.6371,11.9614
DA,1,4.34,-1.8852,8.6382,0.2068,0.0079,9.4529,11.7013,11.5428,11.8874
DA,1,4.36,-1.8038,8.6368,0.1789,0.008,9.2494,11.6146,11.4479,11.8125
DA,1,4.38,-1.7223,8.6353,0.1535,0.008,9.0456,11.5271,11.3523,11.7366
DA,1,4.4,-1.6407,8.6337,0.131,0.008,8.8417,11.4375,11.2547,11.6588
DA,1,4.42,-1.559,8.6321,0.111,0.008,8.6376,11.3454,11.1546,11.5785
DA,1,4.44,-1.4773,8.6303,0.0933,0.008,8.4332,11.2499,11.0512,11.4947
DA,1,4.46,-1.3955,8.6285,0.0775,0.008,8.2287,11.1494,10.9428,11.4054
DA,1,4.48,-1.3135,8.6265,0.0631,0.008,8.0238,11.0457,10.8316,11.3119
DA,1,4.5,-1.2314,8.6245,0.0503,0.0081,7.8186,10.9435,10.7227,11.2186
DA,1,4.52,-1.1492,8.6223,0.039,0.0081,7.6131,10.8469,10.6203,11.1296
DA,1,4.54,-1.0669,8.62,0.0293,0.0081,7.4074,10.7585,10.5269,11.0477
DA,1,4.56,-0.9845,8.6176,0.021,0.0081,7.2013,10.6777,10.4419,10.9727
DA,1,4.58,-0.9019,8.6149,0.0141,0.0082,6.9947,10.6034,10.364,10.9033
DA,1,4.6,-0.819,8.6121,0.0089,0.0082,6.7876,10.5341,10.2914,10.8384
DA,1,4.62,-0.7361,8.6091,0.0056,0.0082,6.5803,10.4692,10.2236,10.7774
DA,1,4.64,-0.6532,8.6063,0.0037,0.0082,6.3731,10.4078,10.1597,10.7196
DA,1,4.66,-0.5704,8.6035,0.0027,0.0083,6.166,10.3495,10.099,10.6647
DA,1,4.68,-0.4876,8.6006,0.0021,0.0083,5.959,10.2933,10.0407,10.6115
DA,1,4.7,-0.4047,8.5977,0.0017,0.0083,5.7518,10.2433,9.9888,10.5641
DA,1,4.72,-0.3217,8.5947,0.0014,0.0083,5.5442,10.1906,9.9341,10.5141
DA,1,4.74,-0.2385,8.5916,0.0012,0.0084,5.3364,10.1387,9.8806,10.4648
DA,1,4.76,-0.1553,8.5883,0.001,0.0084,5.1283,10.0877,9.8279,10.4162
DA,1,4.78,-0.072,8.585,0.0009,0.0084,4.92,10.0371,9.7757,10.3682
DA,1,4.8,0.0115,8.5815,0.0008,0.0085,4.7112,9.9868,9.7239,10.3201
DA,1,4.82,0.0953,8.5778,0.0007,0.0085,4.5019,9.9364,9.6721,10.272
DA,1,4.84,0.1792,8.5738,0.0006,0.0085,4.292,9.8859,9.6201,10.2236
DA,1,4.86,0.2633,8.5697,0.0005,0.0086,4.0818,9.8353,9.5682,10.1751
DA,1,4.88,0.3476,8.5654,0.0004,0.0086,3.8709,9.7842,9.5158,10.1261
DA,1,4.9,0.4322,8.5608,0.0004,0.0087,3.6594,9.7327,9.4631,10.0767
DA,0.6,3.44,-5.1152,8.0456,16.4485,0.0122,17.528,17.1316,17.6736,16.4577
DA,0.6,3.46,-5.035,8.0454,15.8578,0.0122,17.3274,16.962,17.5596,16.2463
DA,0.6,3.48,-4.9547,8.0451,15.2625,0.0122,17.1269,16.801,17.4487,16.0495
DA,0.6,3.5,-4.8745,8.0449,14.6623,0.0122,16.9263,16.6431,17.3317,15.8636
DA,0.6,3.52,-4.7942,8.0446,14.0496,0.0122,16.7255,16.4929,17.2096,15.6943
DA,0.6,3.54,-4.7139,8.0443,13.4198,0.0122,16.5247,16.3458,17.075,15.5382
DA,0.6,3.56,-4.6335,8.0439,12.7699,0.0122,16.3237,16.2051,16.9323,15.3975
DA,0.6,3.58,-4.553,8.0434,12.0477,0.0122,16.1224,16.063,16.7746,15.264
DA,0.6,3.6,-4.4724,8.0428,11.2478,0.0122,15.921,15.9166,16.6016,15.1336
DA,0.6,3.62,-4.3916,8.042,10.3028,0.0122,15.719,15.7544,16.4027,14.9945
DA,0.6,3.64,-4.3106,8.041,9.1829,0.0122,15.5164,15.5642,16.1665,14.8349
DA,0.6,3.66,-4.2292,8.0396,7.9822,0.0122,15.313,15.3649,15.9194,14.669
DA,0.6,3.68,-4.1474,8.0378,6.6436,0.0123,15.1084,15.154,15.6592,14.494
DA,0.6,3.7,-4.0651,8.0355,5.2883,0.0123,14.9027,14.9398,15.3981,14.3146
DA,0.6,3.72,-3.9824,8.0328,4.1416,0.0123,14.6961,14.7138,15.1254,14.1266
DA,0.6,3.74,-3.8998,8.0302,3.4033,0.0124,14.4895,14.4931,14.8605,13.9446
DA,0.6,3.76,-3.8174,8.0278,2.9244,0.0124,14.2835,14.2851,14.6092,13.777
DA,0.6,3.78,-3.7353,8.0257,2.5177,0.0124,14.0783,14.0836,14.3685,13.6144
DA,0.6,3.8,-3.6535,8.0239,2.1859,0.0125,13.8738,13.891,14.1386,13.4605
DA,0.6,3.82,-3.5719,8.0223,1.9205,0.0125,13.6698,13.706,13.9194,13.3131
DA,0.6,3.84,-3.4904,8.0208,1.6926,0.0125,13.466,13.5269,13.7099,13.1696
DA,0.6,3.86,-3.4089,8.0193,1.4951,0.0125,13.2622,13.3529,13.5088,13.0293
DA,0.6,3.88,-3.3274,8.0177,1.323,0.0126,13.0584,13.1828,13.3146,12.8912
DA,0.6,3.9,-3.2458,8.0162,1.1726,0.0126,12.8545,13.0156,13.1257,12.755
DA,0.6,3.92,-3.1642,8.0146,1.0404,0.0126,12.6505,12.851,12.9412,12.6207
DA,0.6,3.94,-3.0826,8.013,0.9239,0.0126,12.4465,12.6883,12.7602,12.4883
DA,0.6,3.96,-3.0009,8.0113,0.8205,0.0127,12.2422,12.5283,12.583,12.3588
DA,0.6,3.98,-2.9191,8.0095,0.7284,0.0127,12.0378,12.3718,12.4103,12.2329
DA,0.6,4,-2.8374,8.0077,0.6462,0.0127,11.8334,12.2202,12.2428,12.1123
DA,0.6,4.02,-2.7555,8.0059,0.5724,0.0127,11.6287,12.0791,12.0865,12.0012
DA,0.6,4.04,-2.6734,8.0038,0.5061,0.0128,11.4234,11.9492,11.9419,11.8999
DA,0.6,4.06,-2.5912,8.0016,0.4465,0.0128,11.2179,11.8301,11.8088,11.8077
DA,0.6,4.08,-2.5089,7.9993,0.3932,0.0128,11.0122,11.7229,11.6883,11.7256
DA,0.6,4.1,-2.4266,7.997,0.3456,0.0129,10.8065,11.6368,11.5913,11.6606
DA,0.6,4.12,-2.3442,7.9946,0.303,0.0129,10.6006,11.5649,11.5103,11.6057
DA,0.6,4.14,-2.2617,7.9921,0.2646,0.0129,10.3943,11.4809,11.4157,11.5404
DA,0.6,4.16,-2.1791,7.9895,0.2298,0.013,10.1877,11.3882,11.3122,11.4656
DA,0.6,4.18,-2.0963,7.9867,0.198,0.013,9.9807,11.2945,11.2079,11.3875
DA,0.6,4.2,-2.0132,7.9836,0.1689,0.0131,9.7731,11.2018,11.1051,11.3089
DA,0.6,4.22,-1.93,7.9804,0.1425,0.0131,9.565,11.11,11.0036,11.2303
DA,0.6,4.24,-1.8466,7.977,0.1186,0.0132,9.3564,11.0185,10.9028,11.1516
DA,0.6,4.26,-1.7629,7.9733,0.0975,0.0132,9.1473,10.9271,10.8024,11.0724
DA,0.6,4.28,-1.679,7.9694,0.0791,0.0133,8.9376,10.8355,10.7019,10.9927
DA,0.6,4.3,-1.595,7.9653,0.0636,0.0133,8.7274,10.7434,10.6012,10.9123
DA,0.6,4.32,-1.5107,7.9611,0.0507,0.0134,8.5167,10.6509,10.5004,10.8313
DA,0.6,4.34,-1.4262,7.9566,0.0402,0.0135,8.3056,10.5578,10.399,10.7496
DA,0.6,4.36,-1.3415,7.9519,0.0318,0.0136,8.0939,10.4637,10.2969,10.6669
DA,0.6,4.38,-1.2566,7.947,0.0252,0.0136,7.8816,10.3683,10.1936,10.5828
DA,0.6,4.4,-1.1715,7.9419,0.0201,0.0137,7.6687,10.2709,10.0883,10.4968
DA,0.6,4.42,-1.086,7.9364,0.0162,0.0138,7.455,10.1704,9.9799,10.4077
DA,0.6,4.44,-1.0002,7.9306,0.0133,0.0139,7.2406,10.0655,9.8673,10.3144
DA,0.6,4.46,-0.9142,7.9246,0.0111,0.014,7.0255,9.9551,9.749,10.2149
DA,0.6,4.48,-0.8279,7.9183,0.0093,0.0141,6.8097,9.8395,9.6259,10.1095
DA,0.6,4.5,-0.7411,7.9115,0.0079,0.0142,6.5927,9.7228,9.5023,10.0016
DA,0.6,4.52,-0.6539,7.9043,0.0068,0.0143,6.3748,9.6107,9.3842,9.8969
