spec_type,Mass,Teff,logg,Mbol,BC,U,B,V,R,I,J,H,Ks,Y,J,H,K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,u,g,r,i,z,g,r,i,z,y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age
DA,0.2,15500,6.792,8.09,-1.352,8.749,9.396,9.442,0.030457077610255,9.61,9.811,9.87,9.921,9.762,9.791,9.843,9.893,9.927,9.948,9.98,9.995,9.931,9.948,9.959,9.97,9.604,9.289,9.624,9.912,10.191,9.308,9.627,9.921,10.154,10.303,9.445,9.349,9.57,9.461,9.395,9.594,9.327,9.445,663200
DA,0.2,16000,6.784,7.935,-1.436,8.637,9.313,9.37,0.030698111628694,9.547,9.756,9.818,9.872,9.705,9.736,9.791,9.844,9.88,9.902,9.935,9.952,9.884,9.901,9.913,9.925,9.491,9.21,9.554,9.847,10.129,9.231,9.557,9.856,10.091,10.243,9.371,9.269,9.504,9.387,9.317,9.529,9.158,9.303,541200
DA,0.2,16500,6.777,7.783,-1.517,8.529,9.232,9.301,0.030958772863027,9.484,9.703,9.767,9.823,9.648,9.682,9.74,9.795,9.833,9.856,9.891,9.909,9.838,9.856,9.868,9.881,9.382,9.134,9.487,9.784,10.068,9.157,9.49,9.792,10.03,10.185,9.299,9.191,9.44,9.315,9.24,9.465,8.997,9.166,444300
DA,0.2,17000,6.77,7.636,-1.597,8.424,9.154,9.233,0.031207126655065,9.423,9.65,9.717,9.775,9.594,9.63,9.69,9.748,9.788,9.812,9.849,9.867,9.793,9.811,9.824,9.838,9.277,9.06,9.421,9.722,10.009,9.084,9.424,9.73,9.971,10.127,9.229,9.115,9.377,9.245,9.166,9.402,8.842,9.034,366700
DA,0.2,20000,6.729,6.828,-2.028,7.864,8.725,8.856,0.032710835347051,9.083,9.353,9.433,9.503,9.284,9.333,9.405,9.476,9.528,9.558,9.607,9.636,9.535,9.557,9.574,9.592,8.713,8.651,9.054,9.375,9.678,8.685,9.057,9.385,9.637,9.807,8.842,8.698,9.029,8.857,8.756,9.055,8.02,8.334,127800
DA,0.2,25000,6.661,5.688,-2.607,7.085,8.099,8.295,0.035389270386494,8.571,8.895,8.995,9.081,8.81,8.875,8.966,9.055,9.126,9.167,9.24,9.278,9.135,9.166,9.191,9.217,7.931,8.051,8.506,8.855,9.178,8.095,8.511,8.864,9.132,9.319,8.267,8.084,8.507,8.28,8.151,8.533,6.913,7.382,0
DA,0.2,30000,6.589,4.715,-3.026,6.362,7.493,7.741,0.038468842321034,8.055,8.423,8.54,8.64,8.323,8.403,8.511,8.615,8.701,8.75,8.825,8.852,8.712,8.748,8.776,8.804,7.207,7.466,7.963,8.331,8.671,7.518,7.967,8.342,8.622,8.822,7.701,7.486,7.982,7.712,7.561,8.008,6.006,6.545,0
DA,0.3,1500,7.458,19.46,1.055,23.232,20.872,18.405,0.017304900566794,20.324,20.486,20.336,22.42,20.492,20.414,20.178,22.391,17.194,16.481,15.618,14.674,16.859,16.469,16.548,16.205,24.249,19.664,18.054,20.452,20.154,19.286,18.132,20.523,20.221,20.021,18.841,18.799,19.092,18.879,18.803,19.156,58.696,34.175,15410000000
DA,0.3,1750,7.458,18.79,0.851,22.489,20.337,17.938,0.017309141527785,18.937,19.289,19.362,21.033,19.317,19.211,19.224,21,16.65,16.013,15.252,14.427,16.353,16.006,16.038,15.741,23.493,19.175,17.448,19.153,18.971,18.812,17.51,19.205,18.985,18.977,18.189,18.26,18.102,18.221,18.265,18.154,56.638,33.096,13300000000
DA,0.3,2000,7.458,18.209,0.628,21.874,19.876,17.581,0.017317756744166,17.816,18.261,18.51,19.802,18.312,18.183,18.389,19.763,16.168,15.602,14.901,14.179,15.907,15.599,15.587,15.314,22.848,18.782,17.002,18.097,17.993,18.434,17.042,18.134,17.974,18.094,17.643,17.858,17.302,17.668,17.862,17.341,54.806,32.077,11580000000
DA,0.3,2250,7.457,17.696,0.395,21.325,19.472,17.301,0.017329522253349,16.92,17.357,17.725,18.669,17.44,17.284,17.622,18.626,15.711,15.213,14.558,13.927,15.487,15.215,15.164,14.91,22.267,18.44,16.682,17.258,17.195,18.113,16.7,17.282,17.158,17.348,17.179,17.552,16.65,17.199,17.557,16.679,53.13,31.193,10190000000
